,P_Surplus,Confidence,Signal,Volume_MWh,ID_Price_RON,Imb_Price_Pos,Imb_Price_Neg,PnL_RON,Cumulative_PnL_RON,Actual_Imb_Volume,Actual_Sign,Prediction_Correct
2024-07-01 09:15:00,0.17932731496145943,0.6413453700770811,BUY,6.413453700770812,446.25,904.59,904.59,2939.542369211294,175817.63445224005,-120.0,-1.0,True
2024-07-01 09:30:00,0.21399452864304602,0.572010942713908,BUY,5.7201094271390795,464.41,904.59,904.59,2517.87776763808,178335.51221987812,-148.0,-1.0,True
2024-07-01 09:45:00,0.3372678217974475,0.32546435640510496,BUY,3.2546435640510496,438.88,904.59,904.59,1515.7200542142143,179851.23227409233,-164.0,-1.0,True
2024-07-01 10:00:00,0.30610823058737047,0.38778353882525907,BUY,3.8778353882525907,415.04,1954.91,1954.91,5971.362379308517,185822.59465340085,-204.0,-1.0,True
2024-07-01 10:15:00,0.2809936766058346,0.43801264678833085,BUY,4.380126467883309,494.97,959.04,959.04,2032.6852899506068,187855.27994335146,-216.0,-1.0,True
2024-07-01 10:30:00,0.2567700490487231,0.48645990190255384,BUY,4.864599019025539,389.86,880.95,880.95,2388.955932253252,190244.2358756047,-288.0,-1.0,True
2024-07-01 10:45:00,0.15259071363036117,0.6948185727392777,BUY,6.948185727392778,401.8,870.63,870.63,3257.517914573556,193501.75379017825,-268.0,-1.0,True
2024-07-01 11:00:00,0.21722365689915038,0.5655526862016993,BUY,5.655526862016993,474.12,904.63,904.63,2434.7608693669354,195936.51465954518,-324.0,-1.0,True
2024-07-01 11:15:00,0.17325392397863668,0.6534921520427266,BUY,6.534921520427266,427.23,908.71,908.71,3146.4340136553205,199082.9486732005,-348.0,-1.0,True
2024-07-01 11:30:00,0.21006841189034517,0.5798631762193096,BUY,5.7986317621930965,416.58,887.47,887.47,2730.5177104991076,201813.46638369962,-220.0,-1.0,True
2024-07-01 11:45:00,0.14525073466894425,0.7094985306621115,BUY,7.0949853066211155,494.18,888.4,888.4,2796.985107576176,204610.4514912758,-180.0,-1.0,True
2024-07-01 12:00:00,0.08338132875584289,0.8332373424883142,BUY,8.33237342488314,378.16,993.41,993.41,5126.492749659353,209736.94424093515,-124.0,-1.0,True
2024-07-01 12:15:00,0.07889045707455523,0.8422190858508896,BUY,8.422190858508895,363.88,-2032.64,923.7,-20183.948836233736,189552.99540470142,-84.0,-1.0,True
2024-07-01 12:30:00,0.07491156371490929,0.8501768725701815,BUY,8.501768725701815,501.44,1005.57,1005.57,4285.996667688057,193838.99207238946,-160.0,-1.0,True
2024-07-01 12:45:00,0.057165995432538426,0.8856680091349232,BUY,8.856680091349231,757.96,891.06,891.06,1178.8241201585818,195017.81619254805,-176.0,-1.0,True
2024-07-01 13:00:00,0.07975443418441369,0.8404911316311726,BUY,8.404911316311725,291.96,1227.85,1227.85,7866.07245182298,202883.88864437104,-108.0,-1.0,True
2024-07-01 13:15:00,0.12456190412599469,0.7508761917480107,BUY,7.508761917480107,363.83,1003.99,1003.99,4806.809029094065,207690.6976734651,-136.0,-1.0,True
2024-07-01 13:30:00,0.09553694688941333,0.8089261062211733,BUY,8.089261062211733,756.07,1003.96,1003.96,2005.2469247116665,209695.94459817675,-264.0,-1.0,True
2024-07-01 13:45:00,0.12109881435271053,0.757802371294579,BUY,7.5780237129457895,974.62,1003.97,1003.97,222.41499597495908,209918.3595941517,-348.0,-1.0,True
2024-07-01 14:00:00,0.23244098134848928,0.5351180373030214,BUY,5.351180373030214,584.81,1122.22,1122.22,2875.777844270168,212794.13743842187,-176.0,-1.0,True
2024-07-01 14:15:00,0.12909322140397358,0.7418135571920528,BUY,7.418135571920528,454.91,1122.04,1122.04,4948.860784095341,217742.9982225172,-236.0,-1.0,True
2024-07-01 14:30:00,0.0726272704847126,0.8547454590305748,BUY,8.547454590305748,774.98,1121.85,1121.85,2964.8555737393535,220707.85379625656,-296.0,-1.0,True
2024-07-01 14:45:00,0.09142517068890892,0.8171496586221821,BUY,8.17149658622182,1357.35,1121.87,1121.87,-1924.2240161235145,218783.62978013305,-420.0,-1.0,True
2024-07-01 15:00:00,0.08926416238237096,0.8214716752352581,BUY,8.214716752352581,810.67,1446.98,1446.98,5227.106416689471,224010.73619682252,-156.0,-1.0,True
2024-07-01 15:15:00,0.05324328990984567,0.8935134201803087,BUY,8.935134201803086,728.05,1446.97,1446.97,6423.646680360275,230434.3828771828,-252.0,-1.0,True
2024-07-01 15:30:00,0.03523681899274324,0.9295263620145136,BUY,9.295263620145136,1365.32,1447.0,1447.0,759.2371324934553,231193.62000967626,-320.0,-1.0,True
2024-07-01 15:45:00,0.055353108812093946,0.8892937823758121,BUY,8.892937823758121,1238.8,1446.94,1446.94,1850.9760786370161,233044.59608831326,-344.0,-1.0,True
2024-07-01 16:00:00,0.04355331691709066,0.9128933661658187,BUY,9.128933661658188,692.66,1552.67,1552.67,7850.974238362659,240895.57032667592,-312.0,-1.0,True
2024-07-01 16:15:00,0.043498958848517844,0.9130020823029643,BUY,9.130020823029643,781.21,1552.52,1552.52,7042.076361010993,247937.6466876869,-424.0,-1.0,True
2024-07-01 16:30:00,0.036719565448480505,0.926560869103039,BUY,9.26560869103039,1119.9,1666.73,1666.73,5066.712800516148,253004.35948820304,-560.0,-1.0,True
2024-07-01 16:45:00,0.08671645237348005,0.82656709525304,BUY,8.2656709525304,1301.91,1553.64,1553.64,2080.7173488804774,255085.07683708353,-580.0,-1.0,True
2024-07-01 17:00:00,0.0595680016281743,0.8808639967436513,BUY,8.808639967436513,1335.31,1931.11,1931.11,5248.1876925986735,260333.2645296822,-556.0,-1.0,True
2024-07-01 17:15:00,0.04729939056716933,0.9054012188656614,BUY,9.054012188656614,1332.32,1932.64,1932.64,5435.30459709434,265768.56912677654,-520.0,-1.0,True
2024-07-01 17:30:00,0.06003825547854949,0.8799234890429011,BUY,8.79923489042901,1632.04,1930.59,1930.59,2627.011576537581,268395.5807033141,-456.0,-1.0,True
2024-07-01 17:45:00,0.05087634490490753,0.8982473101901849,BUY,8.98247310190185,1632.04,2124.62,2124.62,4424.5866005348125,272820.1673038489,-312.0,-1.0,True
2024-07-01 18:00:00,0.05893510411975498,0.88212979176049,BUY,8.8212979176049,1909.81,3289.44,3289.44,12170.127246065249,284990.29454991414,-212.0,-1.0,True
2024-07-01 18:15:00,0.04457707917854433,0.9108458416429114,BUY,9.108458416429114,1764.13,2348.82,2348.82,5325.624551501939,290315.9191014161,-164.0,-1.0,True
2024-07-01 18:30:00,0.03579198632484061,0.9284160273503188,BUY,9.284160273503188,1913.99,2262.21,2262.21,3232.9302904392803,293548.84939185536,-228.0,-1.0,True
2024-07-01 18:45:00,0.03251063828656724,0.9349787234268655,BUY,9.349787234268655,1650.01,2908.18,2908.18,11763.621804539793,305312.47119639517,-108.0,-1.0,True
2024-07-01 19:00:00,0.03317481515717203,0.933650369685656,BUY,9.33650369685656,1572.27,1875.12,1875.12,2827.5601445930083,308140.0313409882,-300.0,-1.0,True
2024-07-01 19:15:00,0.04108980882538164,0.9178203823492367,BUY,9.178203823492368,1556.74,1874.83,1874.83,2919.4948542146863,311059.52619520284,-148.0,-1.0,True
2024-07-01 19:30:00,0.058932489793645196,0.8821350204127096,BUY,8.821350204127096,485.17,1018.41,1876.32,4703.896782848733,315763.4229780516,-40.0,-1.0,True
2024-07-01 19:45:00,0.11366787396939751,0.772664252061205,BUY,7.72664252061205,124.43,-31.57,1043.22,-1205.35623321548,314558.0667448361,60.0,1.0,False
2024-07-01 20:00:00,0.1066803013954424,0.7866393972091152,BUY,7.866393972091153,1106.01,1981.21,1981.21,6884.668004374177,321442.7347492103,-192.0,-1.0,True
2024-07-01 20:15:00,0.09489875754490366,0.8102024849101926,BUY,8.102024849101927,1100.44,1622.39,1622.39,4228.851869988751,325671.5866191991,-184.0,-1.0,True
2024-07-01 20:30:00,0.22522419702218666,0.5495516059556267,BUY,5.495516059556267,524.49,-575.36,1476.58,-6044.24333810296,319627.34328109614,-20.0,-1.0,True
2024-07-01 20:45:00,0.2564370804961943,0.4871258390076114,BUY,4.871258390076115,213.02,-1903.98,-1903.98,-10312.454011791135,309314.889269305,132.0,1.0,False
2024-07-01 21:00:00,0.17303997799228732,0.6539200440154254,BUY,6.539200440154254,1169.22,1715.91,1715.91,3574.9154886279293,312889.8047579329,-224.0,-1.0,True
2024-07-01 21:15:00,0.2865855623209104,0.42682887535817915,BUY,4.268288753581792,951.47,2835.58,2835.58,8041.9255235109895,320931.7302814439,-152.0,-1.0,True
2024-07-01 21:30:00,0.4038200177355091,0.19235996452898185,BUY,1.9235996452898185,543.65,-1228.91,2672.87,-3409.6957872549206,317522.034494189,-108.0,-1.0,True
2024-07-01 21:45:00,0.35029979277537626,0.2994004144492475,BUY,2.9940041444924748,444.7,-2300.68,3500.51,-8219.679098206749,309302.3553959823,-80.0,-1.0,True
2024-07-01 22:00:00,0.12766070665061632,0.7446785866987673,BUY,7.446785866987673,444.7,2286.37,2286.37,13714.522127655187,323016.87752363743,-212.0,-1.0,True
2024-07-01 22:15:00,0.22142626160209206,0.5571474767958159,BUY,5.571474767958159,667.12,1774.69,1774.69,6170.798308747419,329187.67583238485,-288.0,-1.0,True
2024-07-01 22:30:00,0.33413982274360876,0.3317203545127825,BUY,3.317203545127825,524.18,1320.29,1320.29,2640.858914311713,331828.53474669653,-200.0,-1.0,True
2024-07-01 22:45:00,0.17433772368944908,0.6513245526211018,BUY,6.513245526211017,500.34,1128.41,1128.41,4090.7741176473546,335919.3088643439,-220.0,-1.0,True
2024-07-01 23:00:00,0.2979877383701612,0.40402452325967764,BUY,4.040245232596776,722.16,1169.27,1169.27,1806.4340459463447,337725.74291029025,-176.0,-1.0,True
2024-07-01 23:15:00,0.14669320014066667,0.7066135997186667,BUY,7.066135997186667,532.14,1480.34,1480.34,6700.110152532397,344425.85306282266,-136.0,-1.0,True
2024-07-01 23:30:00,0.15491162099595868,0.6901767580080826,BUY,6.9017675800808265,532.64,1892.3,1892.3,9384.057307932695,353809.91037075536,-104.0,-1.0,True
2024-07-01 23:45:00,0.12755801900502275,0.7448839619899545,BUY,7.4488396198995455,478.94,-97.72,1106.82,-4295.447855211271,349514.4625155441,-104.0,-1.0,True
2024-07-02 00:00:00,0.12479524314374033,0.7504095137125193,BUY,7.5040951371251925,557.62,2055.55,2055.55,11240.609228753941,360755.07174429804,-72.0,-1.0,True
2024-07-02 00:15:00,0.15038320180391654,0.699233596392167,BUY,6.99233596392167,565.64,-71.34,1021.18,-4453.978162298826,356301.0935819992,-60.0,-1.0,True
2024-07-02 00:30:00,0.11123556792436941,0.7775288641512612,BUY,7.775288641512612,452.81,-464.0,1272.76,-7128.4623794251775,349172.631202574,-28.0,-1.0,True
2024-07-02 00:45:00,0.11661520895269897,0.7667695820946021,BUY,7.667695820946021,485.76,-313.63,1170.42,-6129.47936230604,343043.15184026794,-32.0,-1.0,True
2024-07-02 01:00:00,0.14180330003591446,0.7163933999281711,BUY,7.163933999281711,480.33,-66.58,42.56,-3918.0271435471604,339125.1246967208,20.0,1.0,False
2024-07-02 01:15:00,0.15127081233278458,0.6974583753344308,BUY,6.974583753344308,423.09,885.23,885.23,3223.2341357705386,342348.3588324913,-56.0,-1.0,True
2024-07-02 01:30:00,0.178834904847003,0.6423301903059939,BUY,6.423301903059939,377.21,845.75,845.75,3009.573873659704,345357.93270615104,-196.0,-1.0,True
2024-07-02 01:45:00,0.2060202477933875,0.587959504413225,BUY,5.87959504413225,426.23,790.0,790.0,2138.8202892039885,347496.75299535505,-272.0,-1.0,True
2024-07-02 02:00:00,0.2616352148713177,0.4767295702573646,BUY,4.767295702573646,411.6,1142.84,1142.84,3486.0373095499526,350982.79030490504,-216.0,-1.0,True
2024-07-02 02:15:00,0.2942752798972068,0.4114494402055864,BUY,4.114494402055864,430.26,1082.99,1082.99,2685.653931053924,353668.444235959,-172.0,-1.0,True
2024-07-02 02:30:00,0.3110592333291354,0.37788153334172925,BUY,3.7788153334172927,523.48,801.28,801.28,1049.7548996233238,354718.1991355823,-172.0,-1.0,True
2024-07-02 02:45:00,0.2758866588171879,0.44822668236562424,BUY,4.482266823656243,522.63,799.99,799.99,1243.2015262092955,355961.4006617916,-100.0,-1.0,True
2024-07-02 03:00:00,0.32748158479337586,0.3450368304132483,BUY,3.450368304132483,481.23,-755.43,1467.08,-4266.932466988475,351694.46819480316,28.0,1.0,False
